Date,Year,Sto_Nino_WL_Valid_Hours,Sto_Nino_WL_24h_Pass,Sto_Nino_WL_DailyMax,Nangka_WL_Valid_Hours,Nangka_WL_24h_Pass,Nangka_WL_DailyMax,BosoBoso_Rain_Valid_Hours,BosoBoso_Rain_24h_Pass,BosoBoso_Rain_DailySum,Campana_Rain_Valid_Hours,Campana_Rain_24h_Pass,Campana_Rain_DailySum,Nangka_Rain_Valid_Hours,Nangka_Rain_24h_Pass,Nangka_Rain_DailySum,Oro_Rain_Valid_Hours,Oro_Rain_24h_Pass,Oro_Rain_DailySum,Aries_Rain_Valid_Hours,Aries_Rain_24h_Pass,Aries_Rain_DailySum,All7_Common_24h_Pass,Exact_t1_Eligible,Exact_t2_Eligible,Exact_t3_Eligible
2016-01-21,2016,22,NO,,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,NO,False,False,False
2016-01-22,2016,24,YES,11.96,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,False,False,False
2016-01-23,2016,24,YES,11.95,24,YES,15.84,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,False,False
2016-01-24,2016,24,YES,11.95,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,False
2016-01-25,2016,24,YES,11.95,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-26,2016,24,YES,11.95,24,YES,15.84,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-27,2016,24,YES,11.91,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-28,2016,24,YES,11.92,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-29,2016,24,YES,11.92,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-30,2016,24,YES,11.94,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-31,2016,24,YES,11.95,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-01,2016,24,YES,11.92,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-02,2016,24,YES,11.91,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-03,2016,24,YES,11.91,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-04,2016,24,YES,11.92,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,4.0,24,YES,2.0,24,YES,0.0,YES,True,True,True
2016-02-05,2016,24,YES,11.92,24,YES,15.8,24,YES,2.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-06,2016,24,YES,11.96,24,YES,15.8,24,YES,5.0,24,YES,2.0,24,YES,0.0,24,YES,1.0,24,YES,7.0,YES,True,True,True
2016-02-07,2016,24,YES,11.96,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-08,2016,24,YES,11.93,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-09,2016,24,YES,11.92,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-10,2016,24,YES,11.91,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-11,2016,24,YES,11.91,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-12,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-13,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-14,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-15,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-16,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-17,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-18,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-19,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-20,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-21,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-22,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-23,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-24,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-25,2016,24,YES,11.89,24,YES,15.8,24,YES,2.0,24,YES,9.0,24,YES,0.0,24,YES,1.0,24,YES,3.0,YES,True,True,True
2016-02-26,2016,24,YES,11.89,24,YES,15.8,24,YES,3.0,24,YES,5.0,24,YES,1.0,24,YES,0.0,24,YES,2.0,YES,True,True,True
2016-02-27,2016,24,YES,11.91,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-28,2016,24,YES,11.91,24,YES,15.8,24,YES,6.0,24,YES,5.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-02-29,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-01,2016,24,YES,11.9,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-02,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-03,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,2.0,24,YES,0.0,YES,True,True,True
2016-03-04,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,6.0,24,YES,1.0,24,YES,0.0,24,YES,4.0,YES,True,True,True
2016-03-05,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-06,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-07,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-08,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-09,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-10,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-11,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-12,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-13,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-14,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-15,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-16,2016,24,YES,11.89,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-17,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,1.0,YES,True,True,True
2016-03-18,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-19,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-20,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-21,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-22,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-23,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-24,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-25,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-26,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,8.0,24,YES,0.0,24,YES,2.0,24,YES,0.0,YES,True,True,True
2016-03-27,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,3.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-28,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-29,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-30,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-03-31,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-01,2016,24,YES,11.88,24,YES,15.8,24,YES,5.0,24,YES,8.0,24,YES,7.0,24,YES,5.0,24,YES,8.0,YES,True,True,True
2016-04-02,2016,24,YES,11.88,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-03,2016,24,YES,11.87,24,YES,15.8,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-04,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-05,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-06,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-07,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-08,2016,24,YES,11.87,24,YES,15.79,24,YES,1.0,24,YES,1.0,24,YES,0.0,24,YES,1.0,24,YES,1.0,YES,True,True,True
2016-04-09,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-10,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-11,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-12,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-13,2016,24,YES,11.87,24,YES,15.79,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-14,2016,24,YES,11.87,24,YES,15.78,24,YES,3.0,24,YES,2.0,24,YES,1.0,24,YES,0.0,24,YES,2.0,YES,True,True,True
2016-04-15,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-16,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-17,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-18,2016,24,YES,11.87,24,YES,15.78,24,YES,34.0,24,YES,26.0,24,YES,23.0,24,YES,25.0,24,YES,26.0,YES,True,True,True
2016-04-19,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-20,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-21,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-22,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-23,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-24,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-25,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-26,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-27,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-28,2016,24,YES,11.87,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-29,2016,24,YES,11.39,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-04-30,2016,24,YES,11.39,24,YES,15.78,0,NO,,0,NO,,0,NO,,0,NO,,0,NO,,NO,False,False,False
2016-05-01,2016,24,YES,11.39,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,False,False,False
2016-05-02,2016,24,YES,11.39,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,False,False
2016-05-03,2016,24,YES,11.39,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,4.0,YES,True,True,False
2016-05-04,2016,24,YES,11.39,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-05,2016,24,YES,11.39,24,YES,15.78,24,YES,12.0,24,YES,2.0,24,YES,9.0,24,YES,0.0,24,YES,10.0,YES,True,True,True
2016-05-06,2016,24,YES,11.34,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-07,2016,24,YES,11.34,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-08,2016,24,YES,11.33,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-09,2016,24,YES,11.33,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-10,2016,24,YES,11.33,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-11,2016,24,YES,11.32,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-12,2016,24,YES,11.32,24,YES,15.78,24,YES,13.0,24,YES,29.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-13,2016,24,YES,11.32,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-14,2016,24,YES,11.32,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,1.0,24,YES,0.0,YES,True,True,True
2016-05-15,2016,24,YES,11.31,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,8.0,YES,True,True,True
2016-05-16,2016,24,YES,11.31,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-17,2016,24,YES,11.31,24,YES,15.78,24,YES,4.0,24,YES,1.0,24,YES,3.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-18,2016,24,YES,11.92,24,YES,15.78,24,YES,22.0,24,YES,14.0,24,YES,41.0,24,YES,4.0,24,YES,72.0,YES,True,True,True
2016-05-19,2016,24,YES,11.87,24,YES,15.78,24,YES,15.0,24,YES,1.0,24,YES,3.0,24,YES,1.0,24,YES,24.0,YES,True,True,True
2016-05-20,2016,24,YES,11.86,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-21,2016,24,YES,11.84,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-22,2016,24,YES,11.83,24,YES,15.78,24,YES,5.0,24,YES,49.0,24,YES,1.0,24,YES,0.0,24,YES,2.0,YES,True,True,True
2016-05-23,2016,24,YES,11.81,24,YES,15.78,24,YES,5.0,24,YES,12.0,24,YES,46.0,24,YES,1.0,24,YES,35.0,YES,True,True,True
2016-05-24,2016,24,YES,12.07,24,YES,15.78,24,YES,5.0,24,YES,6.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-25,2016,24,YES,12.87,24,YES,15.78,24,YES,12.0,24,YES,27.0,24,YES,26.0,24,YES,3.0,24,YES,23.0,YES,True,True,True
2016-05-26,2016,24,YES,12.91,24,YES,15.79,24,YES,1.0,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,YES,True,True,True
2016-05-27,2016,24,YES,12.17,24,YES,15.79,24,YES,4.0,24,YES,1.0,24,YES,1.0,24,YES,0.0,24,YES,1.0,YES,True,True,True
2016-05-28,2016,24,YES,12.09,24,YES,15.79,24,YES,1.0,24,YES,57.0,24,YES,4.0,24,YES,0.0,24,YES,13.0,YES,True,True,True
2016-05-29,2016,24,YES,13.56,24,YES,15.78,24,YES,24.0,24,YES,13.0,24,YES,48.0,24,YES,1.0,24,YES,41.0,YES,True,True,True
2016-05-30,2016,24,YES,12.8,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-05-31,2016,24,YES,12.45,24,YES,15.78,24,YES,22.0,24,YES,23.0,24,YES,5.0,24,YES,3.0,24,YES,25.0,YES,True,True,True
2016-06-01,2016,24,YES,12.45,24,YES,15.78,24,YES,0.0,24,YES,0.0,24,YES,26.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-06-02,2016,24,YES,12.69,24,YES,16.57,24,YES,47.0,24,YES,27.0,24,YES,3.0,24,YES,1.0,24,YES,41.0,YES,True,True,True
2016-06-03,2016,24,YES,12.91,24,YES,15.81,24,YES,15.0,24,YES,16.0,24,YES,21.0,24,YES,1.0,24,YES,30.0,YES,True,True,True
2016-06-04,2016,23,NO,,24,YES,15.81,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,NO,False,False,False
2016-06-05,2016,24,YES,12.18,24,YES,15.8,24,YES,25.0,24,YES,8.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,False,False,False
2016-06-06,2016,24,YES,13.56,24,YES,15.81,24,YES,39.0,24,YES,4.0,24,YES,71.0,24,YES,1.0,24,YES,21.0,YES,True,False,False
2016-06-07,2016,24,YES,13.41,24,YES,15.86,24,YES,0.0,24,YES,0.0,24,YES,1.0,24,YES,0.0,24,YES,0.0,YES,True,True,False
2016-06-08,2016,24,YES,12.36,24,YES,15.86,24,YES,2.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-06-09,2016,24,YES,12.44,24,YES,15.86,24,YES,30.0,24,YES,15.0,24,YES,20.0,24,YES,2.0,24,YES,18.0,YES,True,True,True
